ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
41	Give me all cosmonauts.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Russia> } UNION { ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Soviet_Union> } }	X	SELECT DISTINCT ?itemLabel WHERE { VALUES ?country {wd:Q159 wd:Q15180 wd:Q2184} ?item wdt:P106 wd:Q11631; wdt:P27 ?country SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
42	Give me all Swiss non-profit organizations.	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Switzerland> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> } }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q163740 . ?item wdt:P17 wd:Q39 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label  WHERE {     ?uri a yago:wordnet_nonprofit_organization_101137597;           rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" )    { ?uri yago:isLocatedIn yago:Switzerland }    UNION     { ?uri yago:isLocatedIn ?x . ?x yago:isLocatedIn yago:Switzerland }  }	X
43	Which presidents were born in 1945?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/President> ; <http://dbpedia.org/ontology/birthDate> ?date FILTER regex(?date, "^1945"). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P39 ?president . ?president wdt:P279 wd:Q48352 . ?item wdt:P569 ?date . BIND (YEAR( ?date ) AS ?year) . FILTER (?year = 1945) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label  WHERE {     ?uri a yago:wordnet_president_110467179;           yago:wasBornOnDate ?dob;           rdfs:label ?label.    FILTER(STRSTARTS(STR(?dob),"1945"))    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
44	What kind of music did Lou Reed play?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Lou_Reed> <http://dbpedia.org/ontology/genre> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q189080 wdt:P136 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
45	Where do the Red Sox play?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Boston_Red_Sox> <http://dbpedia.org/property/ballpark> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q213959 wdt:P115 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?uri WHERE {     <http://yago-knowledge.org/resource/Boston_Red_Sox> <http://yago-knowledge.org/resource/infobox/en/ballpark> ?uri.     }	X
46	Show a list of soccer clubs that play in the Bundesliga.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> ; <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Bundesliga>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q476028 . ?item wdt:P118 wd:Q82595 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?o WHERE { ?s  <http://yago-knowledge.org/resource/infobox/en/clubs> ?o . ?s <http://yago-knowledge.org/resource/isAffiliatedTo> <http://yago-knowledge.org/resource/Bundesliga> } 	X
47	Which volcanos in Japan erupted since 2000?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Volcano> ; <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Japan> ; <http://dbpedia.org/ontology/eruptionYear> ?date FILTER ( year(?date) >= 2000 ). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	X	X	X
48	Which bridges cross the Seine?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Bridge> ; <http://dbpedia.org/ontology/crosses> <http://dbpedia.org/resource/Seine>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q12280 . ?item wdt:P177 wd:Q1471 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
52	What is the most frequent cause of death?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . ?x rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )} GROUP BY ?label ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?d wdt:P509 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } GROUP BY ?itemLabel ORDER BY DESC(COUNT(?d)) LIMIT 1	X	X
53	Who are the four youngest MVP basketball players?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/BasketballPlayer> ; <http://dbpedia.org/ontology/birthDate> ?date ; <http://dbpedia.org/property/highlights> ?h FILTER regex(?h, "MVP"). ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?date) OFFSET 0 LIMIT 4	X	X	X	X
54	Give me all companies in Munich.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Company>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Munich> } UNION { ?uri <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Munich> } UNION { ?uri <http://dbpedia.org/ontology/locationCity> <http://dbpedia.org/resource/Munich> } }	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q4830453 . ?item wdt:P131 wd:Q1726 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE  {   ?s a res:wordnet_company_108058098.  ?s res:isLocatedIn res:Munich .  ?s rdfs:label ?label.  FILTER langMatches( lcase(lang(?label)), "eng") }  	X
55	Give me the capitals of all countries that the Himalayas run through.	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?country . ?country <http://dbpedia.org/ontology/capital> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q5451 wdt:P17 ?country . ?country wdt:P36 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>SELECT DISTINCT ?uri ?label WHERE {res:Himalayas res:isLocatedIn ?x .?x res:hasCapital ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
57	Which rivers flow into a German lake?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/River>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) . ?x <http://dbpedia.org/ontology/inflow> ?uri ; a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> }	X	SELECT ?itemLabel ?lake WHERE { ?item wdt:P31 wd:Q4022. ?item wdt:P469 ?lake . ?lake wdt:P17 wd:Q183 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wikicat_Federal_waterways_in_Germany .?uri res:linksTo ?x .?x a res:wordnet_body_of_water_109225146 .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
59	Give me all islands that belong to Japan.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Island> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Japan>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q23442 ; wdt:P17 wd:Q17 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
61	Give me all Apollo 14 astronauts.	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/mission> <http://dbpedia.org/resource/Apollo_14>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q178871 wdt:P1029 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
62	Which companies have more than 1 million employees?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Company>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n } UNION { ?uri <http://dbpedia.org/property/numEmployees> ?n } FILTER ( ?n > 1000000 ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q4830453 . ?item wdt:P1128 ?n . FILTER ( ?n > 1000000 ) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:hasNumberOfPeople ?num .?uri a res:wordnet_company_108058098 .FILTER ( ?num > 1000000 )?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
63	In which films directed by Garry Marshall was Julia Roberts starring?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> ; <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Garry_Marshall>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31/wdt:P279? wd:Q11424 . ?item wdt:P161 wd:Q40523. ?item wdt:P57 wd:Q315087 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Julia_Roberts res:actedIn ?uri .res:Garry_Marshall res:directed ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film.?uri lmdbm:actor <http://data.linkedmdb.org/resource/actor/29532>.?uri lmdbm:director <http://data.linkedmdb.org/resource/director/9268>.?uri rdfs:label ?label.}
64	Give me all soccer clubs in the Premier League.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> ; <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Premier_League>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q476028 . ?item wdt:P118 wd:Q9448 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wordnet_club_108227214 .?uri res:linksTo res:Premier_League .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
65	What is the highest place of the Urals?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Ural_Mountains> <http://dbpedia.org/property/highest> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P131 wd:Q1322976. ?item wdt:P2044 ?alt . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?alt) LIMIT 1	X	X
66	Who is the governor of Wyoming?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Wyoming> <http://dbpedia.org/property/governor> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q1214 wdt:P6 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
67	Where did the architect of the Eiffel Tower study?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Eiffel_Tower> <http://dbpedia.org/ontology/architect> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q243 wdt:P84/wdt:P69 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?x res:created res:Eiffel_Tower .?x res:graduatedFrom ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
69	Give me all actors who were born in Paris after 1950.	SELECT DISTINCT ?label WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor>. ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P106 wd:Q33999 . ?item wdt:P19 wd:Q90 . ?item wdt:P569 ?date . BIND(YEAR(?date) AS ?year) FILTER (?year > 1950) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:actedIn ?x.?uri res:wasBornIn res:Paris .?uri res:wasBornOnDate ?date .FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z'))?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	
70	Which movies star both Liz Taylor and Richard Burton?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Elizabeth_Taylor> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Burton>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?iten wdt:P161 wd:Q34851 . ?item wdt:P161 wd:Q151973 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?label  WHERE {     <http://yago-knowledge.org/resource/Elizabeth_Taylor> <http://yago-knowledge.org/resource/actedIn> ?movie.    <http://yago-knowledge.org/resource/Richard_Burton> <http://yago-knowledge.org/resource/actedIn> ?movie.    ?movie rdfs:label ?label.    FILTER langMatches( lcase(lang(?label)), "eng" ) }	
71	Give me all Australian nonprofit organizations.	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31/wdt:P279* wd:Q163740 . ?item wdt:P131?/wdt:P17 wd:Q408 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
72	Which pope succeeded John Paul II?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Pope_John_Paul_II> <http://dbpedia.org/property/successor> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q989 p:P39 ?statement . ?statement pq:P1366 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
73	Give me all ESA astronauts.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> ; <http://dbpedia.org/property/type> <http://dbpedia.org/resource/European_Space_Agency>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q11631 ; wdt:P108 wd:Q42262 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	SELECT DISTINCT ?s WHERE {?s <http://yago-knowledge.org/resource/worksAt> <http://yago-knowledge.org/resource/European_Space_Agency> .  } 	X
74	Who was president of Pakistan in 1978?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/President_of_Pakistan> ; <http://dbpedia.org/property/years> 1978; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q843 wdt:P35 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX yago: <http://yago-knowledge.org/resource/> SELECT DISTINCT ?label WHERE {     ?pres a yago:wikicat_Presidents_of_Pakistan;          rdfs:label ?label.    ?x yago:hasSuccessor ?pres;       yago:occursUntil ?udate;       yago:occursSince ?sdate.    BIND(year(?sdate) as ?startYear)    BIND(year(?udate) as ?endYear)    FILTER (?endYear = 1978)    FILTER langMatches( lcase(lang(?label)), "eng" ) }	X
75	Who is the owner of Rolls-Royce?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Rolls-Royce_Motors> <http://dbpedia.org/ontology/owner> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q243278 wdt:P127 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
77	Where was JFK assassinated?	SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q9696 wdt:P20 ?item. SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:John_F._Kennedy res:diedIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )} 	X
78	Give me all federal chancellors of Germany.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Person>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/office> "Chancellor of Germany" } UNION { ?uri <http://dbpedia.org/property/office> <http://dbpedia.org/resource/Chancellor_of_Germany> } }	X	SELECT ?itemLabel WHERE { ?item wdt:P39 wd:Q4970706 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
79	Show me everyone who was born on Halloween.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Person>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) { ?uri <http://dbpedia.org/ontology/birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date }	X	SELECT ?itemLabel WHERE { ?item p:P569/psv:P569 ?birth_date_node .    ?birth_date_node wikibase:timePrecision "11"^^xsd:integer .   ?birth_date_node wikibase:timeValue ?date.   FILTER (MONTH(?date) = 10 && DAY(?date) = 31) SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
